,detection_strategy,detection_feature,detection_results,ground_truth,f1,delay,log_path,tipo_mudanca,log_size,window_size_mode,window_size,window_ref_mode,overlap,sliding_step,margin_error,margin_error_corrected
50,time_series_strategy,cpd_cramersv_frequency,"[24, 63, 95, 131, 165, 201, 235, 271, 307, 330]","[15, 50, 85, 119, 155, 190, 225, 260, 295, 330]",1.0,10.89,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\rp\rp7.5k.MXML,rp,7500,Fixed,4000,Fixed,True,200,3,24
51,threshold_strategy,gtest_frequency3,"[18, 68, 87, 137, 157, 208, 227, 278, 298, 330]","[15, 50, 85, 119, 155, 190, 225, 260, 295, 330]",1.0,9.0,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\rp\rp7.5k.MXML,rp,7500,Fixed,4000,Fixed,True,200,3,24
52,threshold_strategy,fixed_frequency_delta_percentage3,"[20, 65, 90, 135, 159, 208, 231, 276, 300, 330]","[15, 50, 85, 119, 155, 190, 225, 260, 295, 330]",1.0,9.89,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\rp\rp7.5k.MXML,rp,7500,Fixed,4000,Fixed,True,200,3,24
53,threshold_strategy,fixed_cramersv_frequency,"[18, 68, 87, 137, 157, 208, 227, 277, 298, 330]","[15, 50, 85, 119, 155, 190, 225, 260, 295, 330]",1.0,9.0,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\rp\rp7.5k.MXML,rp,7500,Fixed,4000,Fixed,True,200,3,24
54,time_series_strategy,cpd_frequency_delta3,"[36, 84, 131, 178, 225, 271, 319, 364, 412, 447]","[27, 74, 120, 167, 214, 261, 307, 354, 401, 447]",1.0,10.56,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\sw\sw10k.mxml,sw,10000,Fixed,4000,Fixed,True,200,3,24
55,time_series_strategy,cpd_prob_freq_delta3,"[41, 81, 135, 174, 229, 268, 322, 361, 416, 447]","[27, 74, 120, 167, 214, 261, 307, 354, 401, 447]",1.0,11.33,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\sw\sw10k.mxml,sw,10000,Fixed,4000,Fixed,True,200,3,24
56,time_series_strategy,cpd_cramersv_frequency,"[35, 86, 130, 180, 224, 273, 317, 365, 412, 447]","[27, 74, 120, 167, 214, 261, 307, 354, 401, 447]",1.0,10.78,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\sw\sw10k.mxml,sw,10000,Fixed,4000,Fixed,True,200,3,24
57,threshold_strategy,gtest_frequency3,"[28, 92, 121, 186, 215, 280, 309, 372, 402, 447]","[27, 74, 120, 167, 214, 261, 307, 354, 401, 447]",1.0,8.89,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\sw\sw10k.mxml,sw,10000,Fixed,4000,Fixed,True,200,3,24
58,threshold_strategy,fixed_frequency_delta_percentage3,"[28, 91, 121, 185, 216, 283, 309, 371, 403, 447]","[27, 74, 120, 167, 214, 261, 307, 354, 401, 447]",1.0,9.11,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\sw\sw10k.mxml,sw,10000,Fixed,4000,Fixed,True,200,3,24
59,threshold_strategy,fixed_cramersv_frequency,"[28, 92, 121, 186, 215, 280, 309, 372, 402, 447]","[27, 74, 120, 167, 214, 261, 307, 354, 401, 447]",1.0,8.89,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\sw\sw10k.mxml,sw,10000,Fixed,4000,Fixed,True,200,3,24
