,detection_strategy,detection_feature,detection_results,ground_truth,f1,delay,log_path,log_size,change_pattern,noise_size,window_size_mode,window_size,window_ref_mode,overlap,sliding_step,margin_error,margin_error_corrected
55,time_series_strategy,cpd_prob_freq_delta3,"[25, 61, 74, 97, 111, 119, 125, 182, 192]","[62, 125, 192]",0.4,19.38,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\Skip\output\Skip.mxml.gz,Size4,Skip,0,Fixed,2000,Fixed,True,500,3,8
56,time_series_strategy,cpd_cramersv_frequency3,[192],"[62, 125, 192]",0.0,,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\Skip\output\Skip.mxml.gz,Size4,Skip,0,Fixed,2000,Fixed,True,500,3,8
57,threshold_strategy,gtest_frequency3,"[91, 95, 110, 118, 192]","[62, 125, 192]",0.33,20.25,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\Skip\output\Skip.mxml.gz,Size4,Skip,0,Fixed,2000,Fixed,True,500,3,8
58,threshold_strategy,fixed_frequency_delta_percentage3,"[3, 184, 187, 192]","[62, 125, 192]",0.0,60.0,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\Skip\output\Skip.mxml.gz,Size4,Skip,0,Fixed,2000,Fixed,True,500,3,8
59,threshold_strategy,fixed_cramersv_frequency3,"[73, 78, 81, 85, 89, 95, 110, 119, 192]","[62, 125, 192]",0.2,18.38,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\Skip\output\Skip.mxml.gz,Size4,Skip,0,Fixed,2000,Fixed,True,500,3,8
60,time_series_strategy,cpd_frequency_delta3,"[28, 61, 76, 130, 196]","[64, 128, 196]",0.67,13.25,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\Skip\output\Skip_2.mxml.gz,Size4,Skip_2,2,Fixed,2000,Fixed,True,500,3,8
61,time_series_strategy,cpd_prob_freq_delta3,"[26, 62, 76, 99, 113, 123, 129, 196]","[64, 128, 196]",0.44,14.57,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\Skip\output\Skip_2.mxml.gz,Size4,Skip_2,2,Fixed,2000,Fixed,True,500,3,8
62,time_series_strategy,cpd_cramersv_frequency3,[196],"[64, 128, 196]",0.0,,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\Skip\output\Skip_2.mxml.gz,Size4,Skip_2,2,Fixed,2000,Fixed,True,500,3,8
63,threshold_strategy,gtest_frequency3,[196],"[64, 128, 196]",0.0,,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\Skip\output\Skip_2.mxml.gz,Size4,Skip_2,2,Fixed,2000,Fixed,True,500,3,8
64,threshold_strategy,fixed_frequency_delta_percentage3,[196],"[64, 128, 196]",0.0,,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\Skip\output\Skip_2.mxml.gz,Size4,Skip_2,2,Fixed,2000,Fixed,True,500,3,8
65,threshold_strategy,fixed_cramersv_frequency3,[196],"[64, 128, 196]",0.0,,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\Skip\output\Skip_2.mxml.gz,Size4,Skip_2,2,Fixed,2000,Fixed,True,500,3,8
66,time_series_strategy,cpd_frequency_delta3,"[12, 53, 63, 116, 132, 200]","[65, 131, 200]",0.57,16.6,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\Skip\output\Skip_5.mxml.gz,Size4,Skip_5,5,Fixed,2000,Fixed,True,500,3,8
67,time_series_strategy,cpd_prob_freq_delta3,"[63, 78, 101, 116, 125, 132, 155, 190, 200]","[65, 131, 200]",0.4,18.75,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\Skip\output\Skip_5.mxml.gz,Size4,Skip_5,5,Fixed,2000,Fixed,True,500,3,8
68,time_series_strategy,cpd_cramersv_frequency3,[200],"[65, 131, 200]",0.0,,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\Skip\output\Skip_5.mxml.gz,Size4,Skip_5,5,Fixed,2000,Fixed,True,500,3,8
69,threshold_strategy,gtest_frequency3,[200],"[65, 131, 200]",0.0,,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\Skip\output\Skip_5.mxml.gz,Size4,Skip_5,5,Fixed,2000,Fixed,True,500,3,8
70,threshold_strategy,fixed_frequency_delta_percentage3,[200],"[65, 131, 200]",0.0,,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\Skip\output\Skip_5.mxml.gz,Size4,Skip_5,5,Fixed,2000,Fixed,True,500,3,8
71,threshold_strategy,fixed_cramersv_frequency3,[200],"[65, 131, 200]",0.0,,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\Skip\output\Skip_5.mxml.gz,Size4,Skip_5,5,Fixed,2000,Fixed,True,500,3,8
72,time_series_strategy,cpd_frequency_delta3,"[58, 126, 190]","[59, 127, 190]",1.0,1.0,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\Substitute\output\Substitute.mxml.gz,Size4,Substitute,0,Fixed,2000,Fixed,True,500,3,8
73,time_series_strategy,cpd_prob_freq_delta3,"[56, 61, 123, 128, 190]","[59, 127, 190]",0.67,2.5,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\Substitute\output\Substitute.mxml.gz,Size4,Substitute,0,Fixed,2000,Fixed,True,500,3,8
74,time_series_strategy,cpd_cramersv_frequency3,"[57, 123, 128, 190]","[59, 127, 190]",0.8,2.33,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\Substitute\output\Substitute.mxml.gz,Size4,Substitute,0,Fixed,2000,Fixed,True,500,3,8
75,threshold_strategy,gtest_frequency3,"[57, 125, 190]","[59, 127, 190]",1.0,2.0,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\Substitute\output\Substitute.mxml.gz,Size4,Substitute,0,Fixed,2000,Fixed,True,500,3,8
76,threshold_strategy,fixed_frequency_delta_percentage3,[190],"[59, 127, 190]",0.0,,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\Substitute\output\Substitute.mxml.gz,Size4,Substitute,0,Fixed,2000,Fixed,True,500,3,8
77,threshold_strategy,fixed_cramersv_frequency3,"[57, 126, 190]","[59, 127, 190]",1.0,1.5,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\Substitute\output\Substitute.mxml.gz,Size4,Substitute,0,Fixed,2000,Fixed,True,500,3,8
78,time_series_strategy,cpd_frequency_delta3,"[55, 61, 129, 193]","[60, 130, 193]",0.8,2.33,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\Substitute\output\Substitute_2.mxml.gz,Size4,Substitute_2,2,Fixed,2000,Fixed,True,500,3,8
79,time_series_strategy,cpd_prob_freq_delta3,"[55, 63, 128, 193]","[60, 130, 193]",0.8,3.33,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\Substitute\output\Substitute_2.mxml.gz,Size4,Substitute_2,2,Fixed,2000,Fixed,True,500,3,8
80,time_series_strategy,cpd_cramersv_frequency3,"[61, 119, 128, 193]","[60, 130, 193]",0.8,4.67,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\Substitute\output\Substitute_2.mxml.gz,Size4,Substitute_2,2,Fixed,2000,Fixed,True,500,3,8
81,threshold_strategy,gtest_frequency3,"[61, 125, 193]","[60, 130, 193]",1.0,3.0,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\Substitute\output\Substitute_2.mxml.gz,Size4,Substitute_2,2,Fixed,2000,Fixed,True,500,3,8
82,threshold_strategy,fixed_frequency_delta_percentage3,[193],"[60, 130, 193]",0.0,,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\Substitute\output\Substitute_2.mxml.gz,Size4,Substitute_2,2,Fixed,2000,Fixed,True,500,3,8
83,threshold_strategy,fixed_cramersv_frequency3,"[61, 127, 193]","[60, 130, 193]",1.0,2.0,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size4\Atomic\Substitute\output\Substitute_2.mxml.gz,Size4,Substitute_2,2,Fixed,2000,Fixed,True,500,3,8
84,time_series_strategy,cpd_frequency_delta3,"[34, 135, 151, 311, 477]","[152, 314, 477]",0.67,34.75,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size2\Atomic\SerialMove\output\SerialMove_5.mxml.gz,Size2,SerialMove_5,5,Fixed,2000,Fixed,True,200,3,14
85,time_series_strategy,cpd_prob_freq_delta3,"[148, 159, 309, 477]","[152, 314, 477]",0.8,5.33,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size2\Atomic\SerialMove\output\SerialMove_5.mxml.gz,Size2,SerialMove_5,5,Fixed,2000,Fixed,True,200,3,14
86,time_series_strategy,cpd_cramersv_frequency3,"[151, 171, 259, 274, 294, 310, 477]","[152, 314, 477]",0.5,23.17,../Input/Synthetic/CPN_Logs (Ostovar - Robust)/FragmentChange\Size2\Atomic\SerialMove\output\SerialMove_5.mxml.gz,Size2,SerialMove_5,5,Fixed,2000,Fixed,True,200,3,14
